participant_id,phase_id,condition_id,algorithm,configuration,rating_id,pos,track_id,rating,score,danceability,energy,audio_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
156,4,13,MAUT,8,1,6,,0.9,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,1,5,,0.6,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,1,3,,0.9,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,1,4,,0.7,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,1,1,,0.6,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,1,2,,0.9,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,9,,0.4,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,1,0,,0.8,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,7,,1,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,8,,0.6,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,6,,0.9,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,5,,0.7,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,4,,0.7,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,3,,0.8,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,2,,0.9,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,1,,0.4,,0,0,0,0,0,0,0,0,0,0,0
156,4,13,MAUT,8,0,0,,0.7,,0,0,0,0,0,0,0,0,0,0,0
156,3,12,MAUT,7,1,9,50ZjS0oaoBdu2X5ccZJzDH,0.3,,0.691,0.669,0,-5.695,1,0.028,0.0765,0,0.162,0.682,114.989
156,3,12,MAUT,7,1,8,42Z1xfxqFcfRlHELLKZUq0,0.2,,0.677,0.908,0,-3.511,0,0.0395,0.32,0.000954,0.335,0.842,146.002
156,3,12,MAUT,7,1,7,6pQmclvdiXwm19JfePYKk1,0.1,,0.464,0.447,0,-14.597,1,0.0863,0.645,0.0000255,0.111,0.461,106.849
