,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence
4052,Open Arms,Journey,2w4EpqGasrz9qdTwocx54t,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,0,0,0,0.584,0.405,202173,0.21,0.0,-13.214,0.0279,0.174
4053,Catch & Release (Deepend Remix),Matt Simons,2OpEZpU0wW1spa6dBl0nK4,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,773,1597,1887,0.508,0.837,196199,0.498,0.00118,-9.878,0.0486,0.104
4054,Champagne Supernova,Oasis,6EMynpZ10GVcwVqiLZj6Ye,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,748,596,656,0.223,0.303,450507,0.853,0.00159,-2.26,0.0366,0.119
4055,Grow Old With Me,Tom Odell,6xjxMWGsprmtUVMDaMhgH0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832,1731,1874,1582,0.799,0.504,182720,0.592,2.07e-06,-8.397,0.0301,0.39
4056,Save A Prayer,Eagles Of Death Metal,3NA45jwwGH28LsHthauYK0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1833,0,0,0,0.112,0.564,280467,0.922,0.000437,-5.647,0.0392,0.766
4057,Red Eyes,War On Drugs,71jGGLe5VtEHjIk5dU2W3S,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1834,1216,1048,1274,0.00871,0.464,298920,0.815,0.201,-6.371,0.0368,0.467
4058,No Good (Start The Dance),Prodigy,1qHKYuAeVf0XISmgwaacHf,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,1744,1681,1462,0.00567,0.64,377827,0.992,0.802,-6.974,0.0523,0.17
4059,Free Fallin',Tom Petty,5tVA6TkbaAH9QMITTQRrNv,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,0,763,1107,0.212,0.623,256000,0.449,0.0,-13.333,0.0253,0.572
4060,Killing Moon ,Echo & The Bunnymen ,35E2eKIEXXnP5q9L51iOAk,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846,0,0,0,0.218,0.568,348293,0.829,0.00418,-7.066,0.0303,0.79
4061,Dag Esmee,Acda en De Munnik,70LLJD5UzNfWdLPu9Hi7km,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4062,Deurdonderen (Live),Normaal,6U7rlAukeYVphgDWLc1yk6,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,338,308,243,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4063,Stitches,Shawn Mendes,3MHLUf5Sq9RIWtrZzqmgn0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1858,1019,1768,1769,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4064,Freestyler,Bomfunk MC's,47xLbuUdmD03ATrke934S1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1861,1714,1472,1797,0.0291,0.822,306333,0.922,0.325,-5.798,0.0989,0.568
4065,Het Kan Hier Zo Mooi Zijn,Guus Meeuwis,5P2KHDiu3aEwhMbelyZMQO,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,0.395,0.295,258933,0.684,0.000114,-6.829,0.033,0.344
4066,Under The Pressure,War On Drugs,45D0ixQWzXQOoU1S9aSnKk,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1876,814,579,504,0.307,0.325,532307,0.71,0.172,-6.545,0.0295,0.193
4067,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,7tqhbajSfrz2F7E1Z75ASX,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,1831,1314,0.43,0.663,151667,0.6,0.0,-10.87,0.032,0.8
4068,Roadhouse Blues,Doors,1Q5kgpp4pmyGqPwNBzkSrw,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1879,1098,1455,1571,0.336,0.623,243827,0.633,4.6e-05,-8.212,0.0304,0.895
4069,Common People,Pulp,2fXKyAyPrEa24c6PJyqznF,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,1988,1966,0,0.0057,0.314,351627,0.797,5.59e-05,-9.026,0.038,0.569
4070,Jump Around,House Of Pain,3TZwjdclvWt7iPJUnMpgcs,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1895,1263,1365,1586,0.0113,0.854,214947,0.71,8.72e-05,-6.32,0.0793,0.818
4071,Show Me Love,Robin S,4t0UsYzmmmZRMTWn77jiGF,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,0,0,0,0.014,0.811,252107,0.833,2.06e-05,-4.259,0.153,0.567
4072,Ms Jackson,Outkast,0I3q5fE6wg7LIfHGngUTnV,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,1720,0,1878,0.143,0.843,270507,0.806,0.0,-5.946,0.269,0.613
4073,Ghosttown,Adam Lambert,44aN5xKL3kGHvQ5bXVk6B8,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,0,0,0,0.186,0.703,208330,0.736,1.92e-05,-5.709,0.046,0.274
4074,Lonely Boy,Black Keys,5G1sTBGbZT5o4PNRc75RKI,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,1053,912,1231,0.00417,0.356,193653,0.872,0.00975,-7.837,0.068,0.607
4075,Elevation,U2,2UrXH3vGyo6rXxdkcRleGi,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,1896,1716,1808,0.00074,0.578,227467,0.799,0.000354,-7.876,0.0379,0.416
4076,I'm Gonna Be (500 Miles),Proclaimers,66S14BkJDxgkYxLl5DCqOz,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911,436,350,280,0.151,0.851,219467,0.551,0.0,-5.177,0.0396,0.807
4077,Tougher Than The Rest,Bruce Springsteen,7i0VrdLCDhvgWXfcT6EQJG,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,532,548,567,0.2,0.6,273867,0.514,0.000774,-11.178,0.0249,0.603
4078,Tumble And Fall,Johan,5ku4FJx6glN1SFAlkkmTpo,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932,1824,1826,1450,0.0219,0.454,208600,0.606,0.000105,-7.446,0.0295,0.483
4079,Would,Alice In Chains,5sFDReWLrZHLFZFjHsjUTS,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,579,650,717,0.000332,0.305,206773,0.832,2.4e-05,-7.981,0.0398,0.585
4080,Is Dit Nu Later,Stef Bos,1IzELBSXRDrHDnku1wHJwh,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,800,942,820,0.802,0.699,215733,0.398,0.0,-13.862,0.0318,0.451
4081,Hemel Valt,Typhoon,2d0amOy3Pd3Y88EwAtBlj2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,679,941,1192,0.239,0.664,160840,0.736,0.0,-6.66,0.136,0.742
4082,No Diggity,Blackstreet ft. Dr Dre,6MdqqkQ8sSC0WB4i8PyRuQ,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,1665,1978,1535,0.303,0.867,304600,0.646,0.0,-4.674,0.288,0.67
4083,Love Me Like You Do,Ellie Goulding,3zHq9ouUJQFQRf3cm1rRLu,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,1805,0,0,0.247,0.262,252534,0.606,0.0,-6.646,0.0484,0.275
4084,My Love,Kovacs,1g5ZP8aEn5x4TBh98unWNP,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,1647,0,0,0.881,0.602,235627,0.432,0.00662,-9.295,0.0268,0.215
4085,Stolen Dance,Milky Chance,2jiPHbFX5XM8TjaTfYJ0eo,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,0,0,0,0.427,0.885,313684,0.581,0.000204,-8.813,0.0378,0.728
4086,Run The World (Girls),Beyoncé,1uXbwHHfgsXcUKfSZw5ZJ0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1676,1784,1283,0.00496,0.733,236093,0.899,4.72e-05,-4.237,0.143,0.76
4087,La Grange,ZZ Top,70YvYr2hGlS01bKRIho1HM,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,504,469,581,0.00249,0.545,230480,0.64,0.0304,-9.937,0.224,0.606
4088,Somebody,Depeche Mode,4jrMslkQYy6HVqKKPX2WXf,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0.922,0.396,267427,0.354,0.00184,-15.705,0.0335,0.486
4089,Sober,Pink,1Tb7Va9FonG3rg6pODHrRJ,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,0,0,0,0.101,0.0,68000,0.000115,0.366,-18.248,0.0,0.0
4090,I Bet You Look Good On The Dancefloor,Arctic Monkeys,3DQVgcqaP3iSMbaKsd57l5,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,648,682,639,0.00225,0.535,173680,0.948,0.0,-4.19,0.0356,0.778
4091,Tiny Dancer,Elton John,2TVxnKdb3tqe1nhQWwwZCO,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1667,1371,1032,0.382,0.414,377093,0.428,0.000243,-11.097,0.0278,0.282
4092,Bohemian Like You,The Dandy Warhols,0yEhNqCwEfy8LHUmnZoHpP,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0.00315,0.584,211707,0.931,0.772,-6.158,0.0344,0.694
4093,Starman,David Bowie,0pQskrTITgmCMyr85tb9qq,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,378,357,0.166,0.486,254293,0.45,2.06e-06,-10.298,0.0267,0.55
4094,The Unforgiven,Metallica,4aYLAF6ckQ5ooGGGM7sWAa,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,296,305,0.0108,0.54,386493,0.584,0.00296,-9.579,0.0254,0.244
4095,Can't Stop The Feeling!,Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,338,475,0.0123,0.667,236002,0.83,0.0,-5.715,0.0749,0.701
4096,Sorry,Kensington,07uuo1yEND3oinbFZnYOvx,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,60,75,0.502,0.461,227440,0.409,0.0,-8.479,0.0315,0.0895
4097,I Walk The Line,Johnny Cash,7hxZF4jETnE5Q75rKQnMjE,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,426,329,0.877,0.713,176533,0.258,0.00606,-14.59,0.0384,0.56
4098,Treur Niet,Diggy Dex ft. JW Roy,11iIeclbEWUhkmLArE9Hr0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,462,389,0.202,0.684,224928,0.717,0.0,-8.561,0.0638,0.571
4099,Welcome To The Jungle,Guns N' Roses,0bVtevEgtDIeRjCJbK3Lmv,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,335,228,0.0235,0.447,272027,0.954,0.403,-8.069,0.0751,0.331
4100,Heading Up High,Armin van Buuren ft. Kensington,7fDHYNpNfSJ7h0jDX440Y5,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,749,381,0.0034,0.52,232853,0.926,0.00188,-4.774,0.0873,0.196
4101,You Shook Me All Night Long,AC/DC,2SiXAy7TuUkycRVbbWDEpo,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,375,375,0.00287,0.532,210173,0.767,0.000513,-5.509,0.0574,0.755
4102,Love Yourself,Justin Bieber,4c7vbd32a0BJZ61R4SqvUK,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,1216,1371,0.86,0.759,232627,0.401,0.0,-8.999,0.259,0.576
4103,The Sound Of Silence,Disturbed,1Cj2vqUwlJVG27gJrun92y,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,54,39,0.468,0.322,248467,0.28,1.1e-06,-9.367,0.0281,0.175
4104,Hymn For The Weekend,Coldplay,3RiPr603aXAoi4GHyXx0uy,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,792,902,0.211,0.491,258267,0.693,6.92e-06,-6.487,0.0377,0.412
4105,Sabotage,Beastie Boys,0Puj4YlTm6xNzDDADXHMI9,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,560,734,0.032,0.324,178440,0.938,0.0321,-7.332,0.102,0.543
4106,Folsom Prison Blues,Johnny Cash,2fDHuS1PTkHBbCWWZF1ph9,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,658,396,0.0652,0.621,162653,0.524,0.00199,-15.269,0.0803,0.889
4107,Human,Rag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,204,343,0.393,0.602,200187,0.707,0.0,-4.097,0.302,0.554
4108,The Man Who Sold The World,David Bowie,4mWahKerLaVddUjb8d1Q4Q,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,965,1083,0.642,0.474,241347,0.387,0.00557,-14.416,0.0305,0.545
4109,American idiot,Green Day,6nTiIhLmQ3FWhvrGafw2zj,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,683,570,2.64e-05,0.38,176346,0.988,7.86e-05,-2.042,0.0639,0.769
4110,Our House,Madness,1EXrFPfVNVsyb32yapebbM,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,734,957,0.0884,0.589,203120,0.715,0.00105,-6.073,0.0401,0.806
4111,Us And Them,Pink Floyd,626wlz3bovvpH06PYht5R0,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,616,637,0.863,0.356,469224,0.302,0.546,-14.528,0.0346,0.126
4112,Hunger Strike,Temple Of The Dog,35SiNV5YHBDsuiTtD0CIwc,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,754,1013,0.0201,0.37,243027,0.563,1.93e-06,-10.842,0.0323,0.303
4113,Feel Good Inc.,Gorillaz,0d28khcov6AiegSCpG5TuT,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,577,437,0.00836,0.818,222640,0.705,0.00233,-6.679,0.177,0.772
4114,Lazarus,David Bowie,3Vn9oCZbdI1EMO7jxdz2Rc,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,499,609,0.0466,0.66,382387,0.695,0.145,-6.896,0.029,0.506
4115,Into My Arms,Nick Cave & The Bad Seeds,407ltk0BtcZI8kgu0HH4Yj,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,630,575,0.894,0.484,256120,0.0874,0.154,-17.796,0.0394,0.219
4116,Madness,Muse,0c4IEciLCDdXEhhKxj4ThA,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,924,927,0.127,0.502,281040,0.417,0.00419,-7.665,0.0718,0.218
4117,Famous Blue Raincoat,Leonard Cohen,77K5TB5KZmDZCoJCdd1NvE,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,1720,1723,0.948,0.474,310773,0.0404,0.000263,-22.208,0.0387,0.18
4118,Everglow,Coldplay,5qfZRNjt2TkHEL12r3sDEU,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,853,782,725,0.456,0.534,282693,0.445,0.0684,-9.155,0.0292,0.136
4119,Undisclosed Desires,Muse,0It6VJoMAare1zdV2wxqZq,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,1030,960,0.00819,0.683,235000,0.585,0.0162,-6.76,0.0323,0.641
4120,7 Years,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,1510,1671,0.287,0.765,237300,0.473,0.0,-5.829,0.0514,0.34
4121,21 Guns,Green Day,64yrDBpcdwEdNY9loyEGbX,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,961,905,0.0518,0.268,321093,0.742,0.0,-4.939,0.0355,0.416
4122,Epic,Faith No More,4ReyTz0y3TGkX48wO3Llot,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,889,838,1213,0.0222,0.358,293653,0.893,0.0524,-7.486,0.12,0.262
4123,Time Is Running Out,Muse,2takcwOaAZWiXQijPHIx7B,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,1066,877,0.00242,0.585,237040,0.842,0.00686,-5.883,0.0556,0.428
4124,Best Of You,Foo Fighters,5FZxsHWIvUsmSK1IAvm2pp,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,723,805,0.000769,0.366,255627,0.94,9.42e-05,-5.119,0.0696,0.369
4125,Since I’ve Been Loving You,Led Zeppelin,1SDiiE3v2z89VxC3aVRKHQ,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,855,1007,0.0021,0.393,444148,0.364,0.0703,-10.945,0.0345,0.308
4126,Diamonds And Pearls,Prince & The New Power Generation,4mfyehYgUP2V8jsjW9UzYj,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,1625,1667,0.0532,0.549,285267,0.547,0.321,-10.119,0.0328,0.288
4127,Trapped (Live),Bruce Springsteen,5xYCSEP2FWHMkVun6GIyDk,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,809,922,0.03,0.316,308133,0.623,7e-05,-6.411,0.0338,0.361
4128,Animals,Martin Garrix,1TWfkGrhF7ob0nwB2M6knb,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,1171,977,0.00107,0.675,304229,0.868,0.715,-6.36,0.0392,0.0376
4129,Road Trippin',Red Hot Chili Peppers,1XxCiPw07rd1ytYnE7SoJI,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,1016,979,0.309,0.243,204973,0.47,0.000798,-8.194,0.0353,0.393
4130,Do I Ever,Kensington,4r6bMqodL3zsAMQ44ojyjB,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,455,432,0.00387,0.388,204107,0.79,3.3e-05,-5.901,0.0489,0.342
4131,By The Way,Red Hot Chili Peppers,1f2V8U1BiWaC9aJWmpOARe,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,1108,1321,0.0264,0.451,216933,0.97,0.00355,-4.938,0.107,0.198
4132,Harder Better Faster Stronger,Daft Punk,5W3cjX2J3tjhG8zb6u0qHn,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,1156,1372,0.0427,0.817,224693,0.716,0.00263,-8.898,0.144,0.692
4133,Bigmouth Strikes Again,Smiths,2OErSh4oVVAUll0vHxdr6p,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,1031,1575,0.0704,0.401,193320,0.901,0.0,-5.011,0.041,0.839
4134,Personal Jesus,Depeche Mode,4UCTgh5jvtqoaMX6MAhUNn,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,1020,1146,0.0911,0.673,224933,0.899,0.0172,-3.528,0.0434,0.793
4135,Blitzkrieg Bop,Ramones,4KcH1ZRV2W1q7Flq0QqC76,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,1110,1333,0.000269,0.385,134467,0.783,0.47,-2.533,0.233,0.902
4136,Dazed And Confused,Led Zeppelin,6hu1f1cXSw7OAqhpSQ2zDy,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,1102,1311,0.044,0.271,386373,0.553,0.0096,-9.526,0.0472,0.433
4137,Dark Necessities,Red Hot Chili Peppers,2oaK4JLVnmRGIO9ytBE1bt,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1089,555,624,0.0722,0.7,302000,0.742,0.0199,-6.777,0.0716,0.197
4138,Call Me The Breeze,J.J. Cale,5AQpbyFoQmkOVwmlhKN4ii,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095,1352,1585,0.75,0.814,156840,0.418,0.0116,-15.372,0.0382,0.842
4139,Back Down South,Kings Of Leon,6HfFLqjxyFJYx1V0olSKof,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,1186,1806,0.0634,0.476,241227,0.619,0.00075,-7.221,0.0398,0.154
4140,No More Tears,Ozzy Osbourne,7w6PJe5KBPyvuRYxFkPssC,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,956,1006,0.00167,0.346,443240,0.749,8.86e-05,-6.506,0.035,0.315
4141,Pure Morning,Placebo,1TqmZVIyeD4aN4Wa0wbnfy,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,1306,1556,0.0372,0.387,254760,0.898,4.04e-05,-6.835,0.0675,0.202
4142,Someone Somewhere In Summertime,Simple Minds,4GAODfoys7MDfMYXayR4Sv,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,1085,1379,0.025,0.552,277800,0.574,0.183,-10.146,0.0264,0.718
4143,Alie,Normaal,4vYH0uBbpU3M5I4jSsMCW3,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,1228,1010,0.142,0.515,180847,0.766,0.0,-10.867,0.0557,0.93
4144,Hold Me,Anouk & Douwe Bob,4OXvpSxeoKVrQ7B3vdyCug,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,1269,1236,0.666,0.483,231073,0.374,0.0,-8.56,0.0278,0.36
4145,Liquid Spirit (Claptone Remix),Gregory Porter,6wp5tGVNQYpKJPo1s3WUEY,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,1347,1660,0.00406,0.877,383552,0.62,0.388,-9.069,0.0549,0.296
4146,The Racing Rats,Editors,1VCxGwTx1F4I7hvMJPV2ip,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,972,1154,0.00019,0.311,257787,0.84,4.93e-05,-3.584,0.051,0.215
4147,Jacob's Song,Douwe Bob,6aqpe7OnVWwRY67ZxIWJDf,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,979,1161,0.0406,0.361,317662,0.507,0.0115,-8.421,0.027,0.149
4148,When The Sun Goes Down,Arctic Monkeys,2zzLRQ78kKfPTx8FJQCdC2,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,1180,942,0.0341,0.348,202133,0.875,0.0,-4.758,0.199,0.407
4149,Go With The Flow,Queens Of The Stone Age,0wzRcekWyVCSyPtlPOeJau,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,1035,844,0.00944,0.246,187147,0.991,0.0753,-3.903,0.087,0.415
4150,Louise,Jett Rebel,4ulCDgCtsV9gLw031TiiXf,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,1744,0,0.0111,0.635,204453,0.785,0.0,-5.883,0.0952,0.511
4151,Barracuda,Heart,4KfSdst7rW39C0sfhArdrz,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,1005,1205,0.015,0.547,261933,0.691,0.105,-13.553,0.0369,0.667
4152,Fluorescent Adolescent,Arctic Monkeys,2x8evxqUlF0eRabbW2JBJd,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234,1289,1097,0.00146,0.654,183893,0.828,0.000144,-5.377,0.0281,0.79
4153,Spirit Of Radio,Rush,7CCuXbuIwrL7xsFvKVazah,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,1097,1342,0.0133,0.362,297693,0.95,0.000107,-5.281,0.0567,0.611
4154,God Put A Smile Upon Your Face,Coldplay,4hf0hL4kWyjWztZzVsM39V,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,1391,1662,0.175,0.611,297307,0.556,7.14e-05,-5.761,0.0288,0.252
4155,Anarchy In The Uk,Sex Pistols,5moTxUGPZXgGmosl4rIELm,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,1375,1743,0.0556,0.359,212480,0.949,0.000396,-7.649,0.101,0.212
4156,Finding Out More,Haevn,1531dSYDoryrmTAJXDe45X,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,1764,0,0.415,0.727,203507,0.346,0.000879,-10.451,0.0346,0.315
4157,Cry Baby,Janis Joplin,3L60Vu9qmY6fg2QroRIxgi,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,1264,1017,0.515,0.474,238600,0.418,0.000342,-9.654,0.03,0.504
4158,Glycerine,Bush,5buITai6eMzU8rJonMEI6e,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,1139,1386,0.0342,0.421,266493,0.335,0.00236,-11.384,0.0324,0.0889
4159,Holiday,Green Day,5vfjUAhefN7IjHbTvVCT4Z,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,1397,1264,0.000138,0.538,233027,0.884,0.0,-3.251,0.031,0.736
4160,If I Was Your Girlfriend,Prince,6yK7QgE4H7dIzHa9EV4FKL,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,0,0,0.46,0.87,301733,0.366,0.0139,-18.998,0.0977,0.819
4161,Looking Too Closely,Fink,7bhI6rnvaVw8qgZPn32qE0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,1312,1476,0.328,0.477,310693,0.519,0.748,-12.461,0.0358,0.102
4162,Controversy,Prince,5shPZ6RnC6sCm0iSZiv7wU,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1378,0,0,0.00996,0.852,435333,0.321,0.239,-17.139,0.0527,0.629
4163,City Of Blinding Lights,U2,2R3wzFFjNYc1z3PSoO8FNV,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1381,1516,1255,0.000234,0.444,345707,0.771,0.0184,-4.127,0.0304,0.198
4164,Round Here,Counting Crows,6jUzbp8Q9dyWRWMZ1JduLR,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,1480,1958,0.097,0.519,331400,0.538,0.00019,-8.03,0.033,0.19
4165,The Highways Of My Life,The Isley Brothers,6MNktmrlECWNXz3C3Gpk9s,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,1721,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
4166,Novocaine For The Soul,Eels,4uPi47C1WcnhIbvCx4zCu6,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1393,1448,1745,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
