,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence
70,Year Of The Cat,Al Stewart,5jYYumalS1qELrcChOCZrK,1977,71,60,36,55,63,77,83,127,78,79,198,169,241,358,380,414,448,440,415,600,0.0114,0.531,401400,0.607,0.00511,-9.602,0.0328,0.534
71,In The Air Tonight,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,1981,72,127,81,81,56,75,106,102,143,95,109,113,115,102,106,97,87,54,48,41,0.551,0.446,336453,0.239,4.1e-06,-13.945,0.0316,0.298
72,De Vlieger,André Hazes,6cMVopr4k5Fexl6zjB2EDr,1977,73,0,60,82,78,51,69,87,67,70,196,159,234,220,333,406,395,405,379,344,0.12,0.491,219573,0.703,0.0,-5.496,0.0265,0.344
73,Last Christmas,Wham,6wn2nmFn3wDuiMldRiuRuL,1984,74,139,263,292,447,286,467,358,437,359,416,443,631,930,743,628,547,530,366,484,0.262,0.757,267160,0.618,0.0,-7.964,0.0282,0.861
74,I Still Haven't Found What I'm Looking For,U2,6wpGqhRvJGNNXwWlPmkMyO,1987,75,0,97,88,118,111,92,72,73,84,102,107,102,121,116,124,132,142,123,128,0.0135,0.564,277477,0.774,0.00191,-9.424,0.0368,0.657
75,The Day Before You Came,ABBA,6W26h4KbGUnEaav5VWIyJm,1982,76,73,65,65,55,91,65,104,44,57,78,91,139,191,183,133,215,275,273,315,0.0498,0.801,349080,0.388,0.00421,-14.594,0.0354,0.736
76,Hey Joe,Jimi Hendrix Experience,0NWPxcsf5vdjdiFUI8NgkP,1967,77,105,182,163,167,151,174,196,220,170,179,204,161,203,215,343,360,428,437,366,0.00603,0.346,210160,0.768,0.38,-5.695,0.0377,0.532
77,We Are The Champions,Queen,1lCRw5FEZ1gPDNPzy1K4zW,1977,78,128,319,223,267,247,222,271,655,301,424,470,412,601,555,672,579,543,583,216,0.378,0.268,179200,0.459,0.0,-6.94,0.0346,0.175
78,Money,Pink Floyd,7Gx2q0ueNwvDp2BOZYGCMO,1973,79,197,219,293,230,326,245,214,347,248,291,290,264,211,271,323,398,416,402,362,0.0241,0.469,382834,0.537,0.00201,-10.421,0.152,0.783
79,Pastorale,Ramses Shaffy & Liesbeth List,50a6StrR0wfLLYKqBl1mvg,1969,80,119,58,40,51,43,33,24,51,40,6,21,27,46,42,47,71,69,86,106,0.498,0.483,256187,0.392,0.0,-14.33,0.0285,0.395
