,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018
166,Roll Over Lay Down (Live),Status Quo,1QbTI29tkDNK7vYFS6BeYC,1975,167,160,89,136,172,226,150,220,328,196,295,330,372,492,442,438,599,561,581,686
167,The Fool On The Hill,Beatles,6rHh8urosEFRI67xVa6fzU,1967,168,190,294,137,199,209,196,203,189,183,256,221,291,389,510,487,550,798,715,730
168,Like A Rollin' Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,1965,169,88,195,215,200,110,133,138,100,125,149,174,174,253,233,261,279,345,385,598
169,Walk Of Life,Dire Straits,3Ud6fFep5ZlXzRWw6Sm8no,1985,170,213,147,173,164,178,207,210,244,192,329,315,341,309,306,355,353,320,328,265
170,Don't Give Up,Peter Gabriel & Kate Bush,2t77hjgJY4sC9DoX5uaVUD,1986,171,162,183,172,213,193,155,194,238,184,255,219,279,237,238,190,254,309,302,295
171,Graceland,Paul Simon,51KKQAgYFoJHgVIuJWHdHb,1987,172,205,170,187,225,238,193,223,286,217,218,180,200,161,185,207,216,175,213,279
172,Billie Jean,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,1983,173,422,310,313,315,222,239,260,370,266,27,64,96,83,132,128,126,123,113,82
173,Eagle,ABBA,69OmpIXN0WPreDYxoFwlYC,1978,174,114,90,94,89,129,100,135,89,104,162,165,194,208,282,243,348,375,299,385
174,A Horse With No Name,America,54eZmuggBFJbV7k248bTTt,1972,175,245,141,96,109,135,119,155,113,126,199,184,244,223,297,334,385,328,347,347
175,The Last Resort,Eagles,0MrZG1nTNQVzeSJKi6gFVF,1976,176,101,59,48,29,48,30,35,26,30,38,39,64,66,60,55,78,108,104,139
176,Voor Haar,Frans Halsema,5qKdMteVok1Rog4vIKz75q,1977,177,141,123,127,110,100,50,56,36,53,69,57,98,109,88,110,115,151,132,179
177,Wereld Zonder Jou,Marco Borsato & Trijntje Oosterhuis,1f4VAmKMduljFaWtRGGweZ,1997,178,230,206,342,343,182,235,342,579,311,443,793,1099,1410,1023,1454,1517,0,0,1132
178,Killer Queen,Queen,4cIPLtg1avt2Jm3ne9S1zy,1974,179,146,173,154,155,185,230,257,512,250,257,333,248,261,288,306,316,319,310,88
179,You,Ten Sharp,6lbme14HiDWYmGiw1I2Dv6,1991,180,331,320,276,229,364,422,447,493,390,485,519,589,809,767,732,717,694,724,955
180,Jump,Van Halen,7N3PAbqfTjSEU1edb2tY8j,1984,181,111,194,246,255,348,370,375,500,349,519,555,542,449,483,459,571,636,565,650
181,The Lady In Red,Chris de Burgh,1GeNWyZtCHbcp3ZWp8GTOO,1986,182,268,290,208,177,169,156,148,134,144,297,305,395,575,532,601,714,753,849,976
182,What A Wonderful World,Louis Armstrong,1qCQTy0fTXerET4x8VHyr9,1968,183,473,658,574,433,345,371,281,399,350,476,464,464,423,343,410,369,525,527,531
183,Maid Of Orleans,Orchestral Manoeuvres In The Dark,5WeMMlylGCVGc0ChHSysJA,1982,184,165,243,245,348,451,428,487,704,453,405,573,551,481,432,384,405,460,488,582
184,Me And Bobby McGee,Janis Joplin,1IqFh00G2kvvMm8pRMpehA,1971,185,181,191,181,196,179,172,162,200,165,182,152,215,267,285,265,266,269,272,246
185,Unchained Melody,Righteous Brothers,2qhASBzpbFhPRtrnZ5lLnz,1965,186,377,239,247,163,354,378,328,435,319,406,505,540,655,613,612,770,827,871,944
186,"Take Me Home, Country Roads",John Denver,39q7xibBdRboeMKUbZEB6g,1971,187,357,115,418,449,489,360,457,441,408,599,501,547,622,591,641,572,541,500,192
187,She's Not There,Santana,44JITu0xanJn3TLMQZJw0G,1978,188,251,235,219,385,370,315,237,473,321,202,206,334,335,312,270,315,459,324,488
188,Liefs Uit Londen,Bløf,0KCcRzDsTMAbivhwGzdFZx,1998,189,81,55,57,62,55,63,83,75,65,131,129,151,200,228,283,223,298,351,382
189,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,1982,190,562,789,1008,791,1008,1504,1367,1540,1207,1527,1025,1136,823,1042,1215,1257,404,651,710
190,Oude Maasweg,Amazing Stroopwafels,0rY0wiJbmpy42X0EUtgkd6,1982,191,112,46,44,49,69,26,38,16,29,66,49,81,103,108,125,149,146,153,217
191,Denis,Blondie,2r9wqqaPMXq6goFO396cfq,1978,192,122,193,213,268,164,223,343,406,258,363,301,431,541,700,778,857,707,661,810
192,Desperado,Eagles,2TjnCxxQRYn56Ye8gkUKiW,1973,193,209,163,86,106,137,115,108,93,106,75,96,100,127,119,114,137,103,106,159
193,Need Your Love So Bad,Fleetwood Mac,6J1NKcC7xlbz5yrATZZ1X0,1968,194,393,244,207,266,230,213,255,400,257,309,283,402,607,427,451,544,657,628,770
194,Perfect Day,Lou Reed,4TOMI010Sd4ZAX4aZ5TS85,1972,195,0,271,231,129,80,109,103,121,115,125,111,119,160,34,92,110,121,118,134
195,Private Dancer,Tina Turner,5JjdJK0uGRUk4skRTuQdUZ,1984,196,355,475,371,322,340,319,394,533,384,473,479,516,881,701,739,840,811,932,615
196,Geen Kind Meer,Karin Bloemen,4ZMBna8ky5JR1gocyYCiML,1996,197,413,268,254,263,295,197,161,152,177,209,201,316,392,395,388,476,767,856,1258
197,You Can't Always Get What You Want,Rolling Stones,6lFZbCc7pn6Lme1NP7qQqQ,1969,198,293,266,46,169,199,203,207,288,186,231,229,238,325,196,179,234,240,215,268
198,Russians,Sting,0MBYW7CcBJmsY3HTP05VQg,1985,199,302,334,309,337,356,519,621,733,504,625,607,576,600,517,652,613,730,822,904
199,Smoke On The Water,Deep Purple,5MMnwYs0hIxkENRsbkWJ2G,1973,200,110,109,77,67,72,90,89,116,87,64,82,89,104,118,105,148,130,131,119
200,Gimme All Your Lovin',ZZ Top,4ZyIXabL4Sp97BZfQgqwFB,1984,201,174,118,170,124,196,192,239,242,187,321,341,355,624,519,417,549,511,553,898
201,Sloop John B,Beach Boys,13KDAITTWOwWlETHkAYl3x,1966,202,227,174,240,240,262,281,301,180,227,299,318,445,716,770,721,831,1236,1326,1350
202,Morning Has Broken,Cat Stevens,3BqqF8suAIzW8655yJfcvh,1972,203,168,131,78,88,76,104,118,97,94,124,115,165,291,313,276,310,291,295,640
203,Als Ze Er Niet Is,De Dijk,1IQLFJXaUNVkFI4QzMmrxe,1994,204,193,218,149,92,134,125,99,126,119,152,139,150,193,206,217,241,267,297,353
204,Albatross,Fleetwood Mac,3iZ5twPwvFeOUQA4Deu8tP,1969,205,199,127,191,223,211,242,212,321,223,240,265,384,361,382,424,486,581,551,705
205,Mull Of Kintyre,Paul McCartney & Wings,24RwOcKkC0hdiN1j3zjN1E,1977,206,238,107,321,393,353,414,401,572,399,371,401,558,987,931,987,895,1224,1295,1289
206,Moonlight Shadow,Mike Oldfield ft. Maggie Reilly,4WpmwEdc4RBos8W8icSSxW,1983,207,276,139,318,373,428,444,442,660,431,604,539,652,680,657,819,846,1068,1122,1024
207,Give Up Your Guns,Buoys,5kVFPD9CCQdFjd4cnTtHYB,1972,208,254,299,250,271,355,430,570,587,427,709,694,835,865,809,1040,1092,1267,1193,1607
208,Whole Lotta Love ,Led Zeppelin,0hCB0YR03f6AmQaHbwWDe8,1969,209,120,185,132,93,124,158,192,211,151,93,136,135,91,86,96,125,124,130,141
209,Love Hurts,Nazareth,5g1rzUEyVFNr2i4ifEjlVN,1974,210,372,373,395,425,426,535,475,443,436,611,557,531,718,554,499,603,653,562,741
210,My Generation,Who,4u9f8hqstB7iITDJNzKhQx,1965,211,385,344,377,339,445,512,589,627,497,396,448,482,444,475,635,695,886,1000,1564
211,Think (Blues Brothers Version),Aretha Franklin,6kie23fo40j9gBNWGWg5Dc,1968,212,273,308,305,301,241,339,384,259,288,583,314,374,459,631,681,841,910,952,459
212,All You Need Is Love,Beatles,68BTFws92cRztMS1oQ7Ewj,1967,213,332,492,608,545,377,249,476,379,392,560,596,688,0,1459,1159,698,822,1205,1153
213,Massachusetts,Bee Gees,3o7k5Mcdi0PFAXICTqjxra,1967,214,233,171,295,227,253,259,287,230,243,425,349,468,802,870,785,1070,863,977,1195
214,More Than A Feeling,Boston,1QEEqeFIZktqIpPI4jSVSF,1977,215,96,111,109,150,156,169,234,219,171,279,307,231,252,242,272,250,228,227,313
215,Layla ,Derek & The Dominos,2kkvB3RNRzwjFdGhaUA0tz,1971,216,440,623,465,332,508,543,623,593,526,491,612,677,558,515,633,771,919,833,599
216,Zeg Me Dat Het Niet Zo Is,Frank Boeijen,5SO1xQrOt9JfiLsNmp2Ha8,1990,217,0,301,287,192,246,229,200,205,208,236,284,344,255,256,134,129,172,220,233
217,White Christmas,Bing Crosby,4so0Wek9Ig1p6CRCHuINwW,1954,218,712,1732,1480,1402,1476,1579,1927,1701,1612,0,0,0,0,0,0,0,0,0,0
218,Vincent,Don McLean,0VNzEY1G4GLqcNx5qaaTl6,1972,219,202,225,273,241,162,304,266,285,240,395,297,350,502,512,435,538,611,585,414
219,Like A Prayer,Madonna,1z3ugFmUKoCzGsI6jdY4Ci,1989,220,341,409,386,450,553,580,804,1082,656,942,949,943,932,929,887,729,804,784,728
220,Radio Ga Ga,Queen,1nQRg9q9uwALGzouOX5OyQ,1984,221,164,287,203,208,213,241,317,449,274,327,387,312,395,338,418,475,489,463,138
221,Wind Of Change,Scorpions,3ovjw5HZZv43SxTwApooCM,1991,222,0,232,177,140,236,293,315,421,265,312,291,250,283,260,232,225,250,243,294
222,Born To Run,Bruce Springsteen,6hTcuIQa0sxrrByu9wTD7s,1975,223,210,105,90,120,131,189,206,149,145,128,144,179,179,135,173,173,141,180,215
223,One Way Wind,Cats,2TUGqSnkaIQylLanv1UWBr,1971,224,198,300,328,282,327,280,217,204,233,298,311,411,596,668,540,691,741,684,760
224,Through The Barricades,Spandau Ballet,5ALQSecfsZLsWip5CZK9aN,1986,225,291,221,290,371,439,522,548,635,486,578,541,620,844,709,538,583,689,590,755
225,Have I Told You Lately,Van Morrison,1VsGYaCBFjCVudtX9IGqDg,1989,226,297,154,134,105,130,108,110,77,99,110,123,143,248,245,267,326,381,431,535
226,Musica E,Eros Ramazzotti,0iBOLnepgpMhH4NinExjCn,1989,227,467,383,333,384,319,277,307,330,310,354,355,400,442,415,561,559,761,747,891
227,Help,Beatles,7DD7eSuYSC5xk2ArU62esN,1965,228,290,391,550,389,420,516,467,475,443,472,516,623,466,653,919,782,1042,994,931
228,Down Under,Men At Work,46RVKt5Edm1zl0rXhPJZxz,1982,229,188,285,206,237,336,344,406,598,364,586,619,598,505,421,570,558,642,518,517
229,Window Of My Eyes,Cuby & the Blizzards,5sTFozFnwuXbWyw0Qaj4LX,1968,230,91,45,84,84,84,89,88,69,76,87,81,38,106,142,136,194,259,248,363
230,Sara,Fleetwood Mac,0q1exbzIDRxqJ6VUKH3seg,1980,231,306,188,166,194,278,329,359,371,287,275,273,268,289,241,227,211,268,261,273
231,Vriendschap,Het Goede Doel,13mvLR1T0GesAY3jhM9lAw,1983,232,292,481,540,693,619,680,732,880,681,984,1080,1117,1104,1144,1259,1323,972,1294,1448
232,Vluchten Kan Niet Meer,Frans Halsema & Jenny Arean,5f4NLmSx46c7xwTVAgzZ3H,1977,233,242,431,445,527,316,231,278,272,280,514,544,629,801,718,1113,954,1139,1212,1358
233,99 Luftballons,Nena,4ZhPLoMzZwewHLLjV1J15c,1983,234,288,366,345,144,357,436,310,511,334,493,428,543,279,374,413,411,439,376,309
234,"See Me, Feel Me",Who,7HVLE4CWBQjQi3Vyiz0fbe,1970,235,243,234,233,226,0,448,433,569,494,402,488,534,498,583,532,798,727,848,1433
235,Eleanor Rigby,Beatles,5GjPQ0eI7AgmOnADn1EO6Q,1966,236,323,420,372,377,338,411,327,292,328,273,320,303,321,308,400,396,419,411,566
236,De Bom,Doe Maar,3i2ZaFbGMZmerAEoVHvsmB,1982,237,224,687,742,1070,954,1108,1111,1120,1002,1288,1389,1001,647,882,1281,1045,1030,968,910
237,She's Always A Woman,Billy Joel,5RgFlk1fcClZd0Y4SGYhqH,1978,238,308,261,211,243,198,276,339,302,260,315,267,348,504,431,401,402,322,318,270
238,Rock Around The Clock,Bill Haley & His Comets,1uRKT2LRANv4baowBWHfDS,1955,239,516,636,740,660,896,891,1253,959,906,1725,1658,1686,0,0,0,0,0,0,0
239,The Dock Of The Bay,Otis Redding,3zBhihYUHBmGd2bcQIobrF,1968,240,450,371,344,239,257,285,253,297,259,195,155,84,31,51,67,82,56,74,90
240,Our House,"Crosby, Stills, Nash & Young",2hitsKa8SthKhRJBXUHbIv,1970,241,239,192,204,173,233,234,265,300,236,322,271,391,602,508,755,785,544,524,513
241,Beat It,Michael Jackson,1OOtq8tRnDM8kG2gqUPjAj,1983,242,434,330,455,760,518,637,642,918,639,74,179,252,218,315,419,359,391,334,242
242,Everybody Needs Somebody To Love,Blues Brothers,1CtKHwDqsH3ctcCCI18N0g,1989,243,389,238,367,253,335,455,507,466,403,561,528,626,507,625,770,890,897,910,934
243,Eye Of The Tiger,Survivor,2KH16WveTQWT6KOG9Rg6e2,1982,244,403,604,380,378,464,615,712,863,600,1109,1113,934,764,637,730,673,918,776,649
244,Saturday Night,Herman Brood & His Wild Romance,0oNwIWGkPR3hKjOU8nO3im,1978,245,419,161,142,170,139,204,100,210,141,135,124,134,162,178,169,154,136,141,175
245,Earth Song,Michael Jackson,4GCGH6TJ69neckwITeBFXK,1995,246,0,0,561,615,634,780,583,940,692,88,148,152,147,113,118,118,149,166,109
246,Jailhouse Rock,Elvis Presley,4gphxUgq0JSFv2BCLhNDiE,1957,247,352,560,475,466,540,474,528,594,517,507,634,640,553,675,786,740,760,649,572
247,'k Heb Je Lief,Paul de Leeuw,0lhD98JGwGzR16lJTERuO3,1997,248,247,311,452,461,350,179,93,136,148,143,227,270,287,332,314,330,396,386,503
248,Lust For Life,Iggy Pop,21YxK0klhpfLW8budkJaMF,1977,249,318,461,411,524,380,552,547,680,527,471,445,467,521,495,543,777,505,541,827
249,Give A Little Bit,Supertramp,6XUHsYE38CEbYunT983O9G,1977,250,217,229,354,409,529,453,572,577,489,860,805,875,719,746,1008,1066,1088,1052,863
250,Ruthless Queen,Kayak,4STZrk4WSN9RxlvtQb5sde,1979,251,113,110,157,115,147,130,120,142,129,104,108,148,164,170,185,226,266,239,283
251,Sgt. Pepper’s Lonely Hearts Club Band,Beatles,4fUKE8EULjQdHF4zb0M8FO,1967,252,367,485,370,446,443,302,335,221,305,369,389,456,514,643,777,1218,1769,1241,809
252,Theme From 'Harry's Game',Clannad,2hcxPnu5RljXH0eMOtctuF,1983,253,309,414,417,457,531,646,704,785,605,996,1011,1019,1348,1238,1069,1212,1188,1208,1416
253,Just A Little Bit Of Peace In My Heart,Golden Earrings,5oZzQ1ZMxmJkXlCUDJ22qO,1968,254,225,361,218,245,272,257,273,436,282,323,353,392,549,419,517,598,631,685,852
254,The Wind Cries Mary,Jimi Hendrix Experience,5H6Jp0syB5yEPk7SWYdlmk,1967,255,223,254,379,318,670,333,410,344,366,224,256,233,301,337,506,554,780,818,685
255,Ben,Michael Jackson,3vZMkLS1jP7NdNhzqGfUSW,1972,256,603,463,743,690,677,737,733,942,732,186,369,466,336,463,556,552,638,617,495
256,Question,Moody Blues,4Q27I5G3W14hnYVi45oi2h,1970,257,271,165,182,154,223,226,197,311,206,252,292,340,350,391,475,678,993,953,969
257,Bloedend Hart,De Dijk,21UjnG4SVJlOO4WDrUBaTJ,1982,258,0,279,270,171,244,218,170,296,211,245,260,247,363,493,584,676,573,742,647
258,White Room,Cream,3Xls4cNOwy01dtrNXb1inG,1968,259,175,438,301,293,308,297,564,499,398,474,551,504,533,569,415,640,545,623,726
259,Who'll Stop The Rain,Creedence Clearwater Revival,3Bh6uInhcVBVvLraGZdkKD,1970,260,546,202,236,183,215,243,215,246,212,287,244,385,517,551,630,663,652,624,540
260,Oh Well (Part I),Fleetwood Mac,0QdagWnOd3GzMCBu57efgp,1969,261,206,270,261,421,275,390,471,557,411,398,472,488,636,500,610,848,1192,1038,1140
261,Once Upon A Time In The West,Ennio Morricone,0c89GbbUO3degznx9eYrq0,1968,262,482,578,694,623,499,599,600,646,582,784,799,739,578,698,696,738,663,741,779
262,The Man With The Child In His Eyes,Kate Bush,4xjVfArXNQRxAvsUpjmfMt,1978,263,304,316,289,209,86,216,240,256,188,184,183,192,251,248,188,277,239,292,281
263,De Waarheid,Marco Borsato,76wIe1sRiW5whxjY0PsDr4,1996,264,235,236,529,520,249,351,371,525,379,305,767,731,739,963,1157,723,1183,1202,1025
264,The Best,Tina Turner,2W2ieVidLIx9TDvxu0ZT6F,1989,265,240,376,343,290,250,335,286,447,318,437,450,528,511,635,653,747,903,878,793
265,Penny Lane,Beatles,1h04XMpzGzmAudoI6VHBgA,1967,266,366,284,322,502,447,510,438,429,424,324,406,443,462,441,529,432,410,506,388
266,Daar Gaat Ze,Clouseau,1pQcaYky2rRxSeUdZld9xk,1990,267,219,230,378,272,263,246,284,253,253,464,529,596,677,921,1037,964,745,755,914
267,Whisky In The Jar,Thin Lizzy,0uUunJxiyFF8F43K6M6kw7,1973,268,258,477,486,376,431,457,488,652,480,478,558,521,583,505,574,703,714,839,1196
268,River Deep Mountain High,Ike & Tina Turner,44BmNSqH9uZV5OfIjGcER3,1966,269,483,417,335,398,271,372,238,489,331,511,435,437,523,462,535,609,713,736,595
269,Black Magic Woman,Santana,4YMQXzscifAREG0a7KNGhB,1970,270,378,603,348,370,455,439,422,703,464,232,253,388,390,440,397,498,276,453,610
270,Knockin' On Heaven's Door,Bob Dylan,6HSXNV0b4M4cLJ7ljgVVeh,1973,271,222,393,358,357,264,366,354,237,286,442,388,477,534,473,682,767,782,882,791
271,Born To Be Wild,Steppenwolf,63OFKbMaZSDZ4wtesuuq6f,1968,272,281,509,489,459,323,587,516,710,509,764,884,659,566,595,884,750,754,729,885
272,Can't Help Falling In Love With You,Elvis Presley,44AyOl4qVkzS48vBsbNXaC,1961,273,0,835,927,528,772,681,611,649,635,627,731,845,894,811,932,784,670,487,322
273,Hou Me Vast,Volumia!,5MpQcSDV8mCDRo9DL4gsYM,1998,274,307,436,798,906,516,657,803,711,668,1129,1067,963,1540,1414,1677,1674,1970,0,0
274,House For Sale,Lucifer,4kXbcScK3ScRFrZVlBytnm,1975,275,452,525,630,596,583,551,667,866,634,1024,890,836,883,920,994,1194,1307,1014,1323
275,Brown Eyed Girl,Van Morrison,3yrSvpt2l1xhsV9Em88Pul,1967,276,216,257,179,178,171,167,167,193,161,211,232,224,288,274,291,331,283,276,370
276,Land Van Maas En Waal,Boudewijn De Groot,2nk4SnUS6xe1iB5SeIBbgo,1967,277,313,370,232,292,176,176,254,269,220,498,518,582,845,855,1108,1219,1121,1277,1042
277,Such A Shame,Talk Talk,4BixGe6AcqJU2etTzeh2cN,1984,278,264,405,224,344,358,586,602,684,493,621,668,588,692,552,474,470,572,448,594
278,Take Five,Dave Brubeck Quartet,1YQWosTIljIvxAgHWTp7KP,1962,279,621,741,526,392,485,602,586,604,537,577,724,734,529,506,550,829,1165,976,1224
279,7 Seconds,Youssou N'Dour & Neneh Cherry,76D5nfZbYzZYfUZKGy73jy,1994,280,321,429,416,516,462,539,576,616,530,518,540,781,705,782,828,1042,1310,1329,1613
280,Chiquitita,ABBA,762B4bOcXF7I2Y8UlKTyTy,1979,281,244,372,382,463,434,296,479,255,348,531,442,610,532,829,787,835,736,701,611
281,Words,Bee Gees,07PIhdmyYIw8dMeDMsx9FU,1968,282,215,184,339,279,300,358,356,295,298,388,362,481,763,712,792,882,717,762,1126
282,Almost Cut My Hair,"Crosby, Stills, Nash & Young",0gCJkpD0RhF2rjiALLHBQL,1971,283,0,157,249,297,317,643,213,277,276,261,257,352,414,378,509,562,456,561,731
283,Father And Son,Cat Stevens,19slC7k8bsPOAKDjHYLU2W,1971,284,0,286,237,352,497,271,259,247,278,214,211,289,460,414,476,512,557,519,713
284,It's Now Or Never,Elvis Presley,1XunTmhOcj3xwh4b8P3isX,1960,285,487,1024,1110,558,897,668,999,836,793,1008,1105,1409,1481,1825,0,0,0,0,0
285,Belgie,Het Goede Doel,0otIFwtEKqrDBGb3cvLRu4,1982,286,345,457,467,618,597,608,734,968,670,817,790,853,736,728,897,808,658,908,696
286,Michelle,Beatles,5By7Pzgl6TMuVJG168VWzS,1966,287,329,345,388,356,376,325,321,279,312,349,367,501,595,660,703,893,788,890,1130
287,I Have A Dream,ABBA,1PtJclc46wTk367PlsU6Uj,1979,288,607,0,650,416,362,268,395,198,309,447,416,511,707,860,784,752,810,949,797
288,Summertime,Brainbox,2NZgswCQADocBJImSyZzP7,1969,289,229,252,279,345,315,278,347,333,308,410,373,442,772,724,814,963,1086,1090,1538
289,You Are So Beautiful,Joe Cocker,5Yo8iKcDFk5aJ2Pntaz8UH,1975,290,398,487,643,289,258,225,256,410,291,390,376,422,518,476,571,497,559,544,718
290,The Times They Are A Changin',Bob Dylan,52vA3CYKZqZVdQnzRrdZt6,1964,291,410,555,563,699,557,617,539,420,519,492,462,494,547,469,709,644,666,712,750
291,Walk On The Wild Side,Lou Reed,5p3JunprHCxClJjOmcLV8G,1973,292,125,562,437,299,448,605,597,835,533,588,677,625,729,263,507,651,637,678,661
292,We Will Rock You,Queen,4pbJqGIASGPr0ZpGpnWkDn,1977,293,151,337,178,216,157,212,228,516,241,313,246,295,391,355,368,458,476,409,140
293,Tom Traubert's Blues (Waltzing Mathilda),Tom Waits,71vyz1pfzmj1MQvJYOsPlb,1976,294,316,388,275,280,231,327,198,206,218,302,321,321,506,455,554,907,1408,1691,1124
294,Pour Que Tu M'Aimes Encore,Celine Dion,6qlpXtA29VcxCNgLWR5IWx,1995,295,0,716,787,769,796,898,910,986,867,1181,1220,1319,1252,1621,1707,1610,0,0,0
295,You'll Never Walk Alone,Gerry & The Pacemakers,6fSNK6QlZskYmKTvJnNH5P,1963,296,504,868,718,526,656,632,632,708,624,646,654,614,731,633,671,802,974,967,995
296,Zing Vecht Huil Bid Lach Werk En Bewonder,Ramses Shaffy,6WSFHH1ReDQoeT7bUsufBo,1971,297,584,548,304,295,235,161,164,267,202,7,65,85,150,140,172,166,163,199,250
297,Easy Livin',Uriah Heep,6qn5Ysxo9H4z4QgEvwg1SK,1973,298,142,231,165,138,212,253,231,389,230,264,241,347,311,379,351,454,507,531,648
298,Always Look On The Bright Side Of Life,Monty Python,4DEcdqqKokU7UAE4wCGQEy,1981,299,0,1221,856,986,916,1183,1182,1589,1181,1219,1576,1184,956,820,1155,1185,1319,1440,0
299,Don't Stop Me Now,Queen,5T8EDUDqKcs6OSOwEsfqG7,1979,300,204,196,162,157,138,142,154,155,139,165,171,112,90,114,111,97,90,94,37
300,Papa Was A Rolling Stone,Temptations,5Lno0hPhvo7BzXVLQzDIS3,1972,301,330,304,296,294,265,236,296,367,285,292,337,305,329,299,318,375,474,504,487
301,Mr. Tambourine Man,Byrds,2HCaIYjkvWSZzaSKUoOh3d,1965,302,277,323,324,349,281,365,472,439,375,696,485,707,1512,1009,1310,1720,1345,1586,0
302,Bad Moon Rising,Creedence Clearwater Revival,20OFwXhEXf12DzwXmaV7fj,1969,303,208,250,201,302,255,263,216,227,226,266,218,287,229,325,369,342,284,285,244
303,MacArthur Park,Richard Harris,4LqZcPFNuFslukxPHDtEm7,1968,304,441,350,193,334,410,323,391,241,313,564,651,804,550,835,949,1128,1631,1570,1796
304,More Than Words,Extreme,2SbsvihBJmgNKZ4qkXFWrp,1991,305,514,661,581,503,767,988,1099,1099,860,1025,823,1198,0,1312,1104,1065,1225,1116,1421
305,You're The One That I Want,John Travolta & Olivia Newton John,0B9x2BRHqj3Qer7biM3pU3,1978,306,474,812,876,1293,1045,1290,1095,1866,1233,1816,1938,0,1835,0,0,0,0,0,0
306,Land Of Confusion,Genesis,2oiMNaVCul7qmMzpRStjCg,1986,307,299,297,282,388,423,645,665,738,551,551,586,613,641,481,568,561,552,559,712
307,Woorden Zonder Woorden,De Kast,63Ulbl3LNcl2ba5C7eTCzJ,1998,308,0,292,421,1059,1148,1121,1112,1010,993,1451,1001,1311,1549,1856,0,0,0,0,0
308,Baker Street,Gerry Rafferty,5gOd6zDC8vhlYjqbQdJVWP,1978,309,421,384,473,532,539,427,549,742,547,672,726,396,330,349,298,374,448,449,514
309,Stay With Me Till The Morning,Vicky Brown,2VzvG3apTo2dkEMDKs7WeU,1986,310,681,267,822,628,538,708,491,750,596,549,614,811,1265,1313,1122,1371,0,0,0
310,Everytime I Think Of You,Babys,1o8f2ttHVUBD3acVOry7ZZ,1979,311,172,186,175,304,234,336,232,324,249,546,399,490,608,755,492,539,521,520,1541
311,While My Guitar Gently Weeps,Beatles,389QX9Q1eUOEZ19vtzzI9O,1968,312,310,375,190,228,282,240,191,167,204,166,164,168,257,168,176,203,218,225,169
312,Locomotive Breath,Jethro Tull,0MYNeFsKpzBHwrJGfWZysV,1972,313,226,224,326,231,311,306,270,405,292,480,431,498,540,600,636,586,697,740,996
313,Hocus Pocus,Focus,2uzyiRdvfNI5WxUiItv1y9,1971,314,350,228,253,206,342,415,439,559,380,259,215,277,340,292,387,410,463,447,620
314,Solsbury Hill,Peter Gabriel,6vZZtivPrtpggT5SSXsYTy,1977,315,272,343,186,197,200,252,261,369,246,243,230,275,295,258,262,317,289,291,406
315,Sailing,Rod Stewart,6OuRbvP4PgbuzBIapVzmFJ,1975,316,305,302,297,346,393,311,300,323,316,397,335,448,556,623,650,580,656,688,788
316,Why,Annie Lennox,2fYYmPNwDaNpw1KRSxpQ5H,1992,317,431,447,346,413,491,441,571,402,442,765,715,839,1117,1108,1222,1480,1535,1462,1373
317,Dancing In The Dark,Bruce Springsteen,7FwBtcecmlpc1sLySPXeGE,1984,318,144,150,183,220,217,287,274,236,231,350,380,222,327,236,293,327,262,307,288
318,School's Out,Alice Cooper,5Z8EDau8uNcP1E8JvmfkZe,1972,319,124,119,125,156,148,208,338,209,191,417,334,353,645,649,788,924,785,757,940
319,Stand By Me,Ben E. King,3SdTKo2uVsxFblQjpScoHy,1987,320,620,538,962,1229,710,852,953,622,768,1218,1125,872,1173,982,1043,689,793,816,669
320,Mijn Vlakke Land,Jacques Brel,1UlztlUKod6mibYwJEWbsp,1965,321,442,470,393,368,304,330,292,331,315,359,404,565,681,610,764,762,1034,1018,1185
321,Message In A Bottle,Police,1oYYd2gnWZYrt89EBXdFiO,1979,322,301,341,410,495,549,756,637,654,590,386,454,387,435,341,437,503,422,422,408
322,Venus,Shocking Blue,0Z3xhSOhrawLV81YdiDiiJ,1969,323,521,729,575,629,502,676,510,527,541,470,545,607,557,620,656,885,655,665,959
323,Expecting To Fly,Buffalo Springfield,3uVmR6oQq0NluVZXkipKHV,1968,324,0,0,443,568,581,758,805,666,672,1121,1023,1242,1520,1563,1750,0,0,0,0
324,The Young Ones,Cliff Richard & The Shadows,6ed0AwPdxhDVKOKoYRLfgH,1962,325,624,633,942,1024,943,1138,1254,1011,1042,1349,1488,1801,0,0,0,0,0,0,0
325,Alles Geprobeerd,Het Goede Doel,3yBuEy5DmmV4tRL5ASRxlE,1986,326,317,306,427,431,517,472,542,653,518,594,671,586,433,444,495,587,587,568,704
326,Ik Leef Niet Meer Voor Jou,Marco Borsato,45I37gu7jG5JsXyqYm4YDT,1996,327,0,295,464,490,224,318,369,472,363,364,789,753,861,912,1203,918,1182,1259,999
327,Go Like Elijah,Chi Coltrane,2w08JiyME4xl4zUJrX7UXO,1973,328,285,207,135,189,228,368,209,182,198,238,237,358,362,449,432,531,627,605,623
